,Instrument,ESG Controversies Score Grade,ESG Controversies Score,Date,,TR.TRESGCCONTROVERSIESSCOREGRADE,TR.TRESGCCONTROVERSIESSCORE,TR.TRESGCCONTROVERSIESSCORE.DATE
10,CONG.DE,A+,100.0,2011-12-31T00:00:00Z,,,,
0,1COV.DE,A+,100.0,2022-12-31T00:00:00Z,,,,
1,1COV.DE,A+,100.0,2021-12-31T00:00:00Z,,,,
2,1COV.DE,A+,100.0,2020-12-31T00:00:00Z,,,,
3,1COV.DE,A+,100.0,2019-12-31T00:00:00Z,,,,
4,1COV.DE,A+,100.0,2018-12-31T00:00:00Z,,,,
5,1COV.DE,A+,100.0,2017-12-31T00:00:00Z,,,,
6,1COV.DE,A+,100.0,2016-12-31T00:00:00Z,,,,
7,1COV.DE,A+,100.0,2015-12-31T00:00:00Z,,,,
0,DBKGn.DE,C+,43.1034482758621,2022-12-31T00:00:00Z,,,,
1,DBKGn.DE,D-,3.19148936170212,2021-12-31T00:00:00Z,,,,
2,DBKGn.DE,D-,2.33644859813084,2020-12-31T00:00:00Z,,,,
3,DBKGn.DE,D-,0.480769230769231,2019-12-31T00:00:00Z,,,,
4,DBKGn.DE,D-,2.8735632183908,2018-12-31T00:00:00Z,,,,
5,DBKGn.DE,D-,3.37837837837837,2017-12-31T00:00:00Z,,,,
6,DBKGn.DE,D-,0.666666666666666,2016-12-31T00:00:00Z,,,,
7,DBKGn.DE,D,10.8695652173913,2015-12-31T00:00:00Z,,,,
8,DBKGn.DE,D,14.0,2014-12-31T00:00:00Z,,,,
9,DBKGn.DE,D-,6.79012345679012,2013-12-31T00:00:00Z,,,,
10,DBKGn.DE,D-,8.08823529411764,2012-12-31T00:00:00Z,,,,
0,DBKGn.DE,C+,43.1034482758621,2022-12-31T00:00:00Z,,,,
1,DBKGn.DE,D-,3.19148936170212,2021-12-31T00:00:00Z,,,,
2,DBKGn.DE,D-,2.33644859813084,2020-12-31T00:00:00Z,,,,
3,DBKGn.DE,D-,0.480769230769231,2019-12-31T00:00:00Z,,,,
4,DBKGn.DE,D-,2.8735632183908,2018-12-31T00:00:00Z,,,,
5,DBKGn.DE,D-,3.37837837837837,2017-12-31T00:00:00Z,,,,
6,DBKGn.DE,D-,0.666666666666666,2016-12-31T00:00:00Z,,,,
7,DBKGn.DE,D,10.8695652173913,2015-12-31T00:00:00Z,,,,
8,DBKGn.DE,D,14.0,2014-12-31T00:00:00Z,,,,
9,DBKGn.DE,D-,6.79012345679012,2013-12-31T00:00:00Z,,,,
10,DBKGn.DE,D-,8.08823529411764,2012-12-31T00:00:00Z,,,,
0,DPWGn.DE,B+,67.8571428571428,2021-12-31T00:00:00Z,,,,
1,DPWGn.DE,A+,100.0,2020-12-31T00:00:00Z,,,,
2,DPWGn.DE,A+,100.0,2019-12-31T00:00:00Z,,,,
3,DPWGn.DE,A+,96.875,2018-12-31T00:00:00Z,,,,
