,Y,buzz_News,buzz_News_Headline,buzz_News_Social,buzz_Social,innovation_News,innovation_News_Headline,innovation_News_Social,innovation_Social,laborDispute_News,laborDispute_News_Headline,laborDispute_News_Social,laborDispute_Social,layoffs_News,layoffs_News_Headline,layoffs_News_Social,layoffs_Social,managementTrust_News,managementTrust_News_Headline,managementTrust_News_Social,managementTrust_Social,mentions_News,mentions_News_Headline,mentions_News_Social,mentions_Social,ticker_
15,2023,5000.2,194.5,6579.4,1579.2,0.333333,0.666667,0.333333,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.117647,0.0,0.045627,0.0,1975.0,186.0,2491.0,516.0,JMAT
16,2022,217847.65,9268.4,346173.0,128325.35,0.061538,1.0,0.039859,0.018692,0.024691,0.0,0.011786,0.013667,0.002987,0.022222,0.005333,0.014056,0.040683,0.111111,0.028261,0.017544,61813.0,5889.0,109774.0,47961.0,VOD
17,2023,116466.8,5388.7,176531.7,60064.9,0.024691,0.090909,0.017895,0.029024,0.026683,0.0,0.016879,0.008247,0.042421,0.5,0.044923,0.053126,0.016807,0.038462,0.026866,0.048322,48832.0,3234.0,68931.0,20099.0,VOD
18,2022,36236.65,1053.5,49809.0,13572.35,0.222222,0.333333,0.142857,0.090909,0.009533,0.0,0.028169,0.028571,0.040536,0.444444,0.059039,0.228571,0.052632,0.0,0.036765,0.029412,9400.0,603.0,15675.0,6275.0,BATS
19,2023,35847.1,920.5,43442.8,7595.7,0.055227,0.125,0.046589,0.0625,0.00789,0.0,0.007117,0.0,0.004275,0.060606,0.006803,0.019737,0.052632,0.0,0.027273,0.0131,8508.0,430.0,11228.0,2720.0,BATS
20,2022,70217.65,4013.0,92053.6,21835.95,0.173913,0.142857,0.124378,0.1,0.011111,0.0,0.009569,0.032258,0.023121,0.285714,0.020619,0.021978,0.097561,0.272727,0.079646,0.164384,18075.0,1403.0,24886.0,6811.0,OCDO
21,2023,39764.1,2098.0,47380.1,7616.0,0.032258,0.0,0.0625,0.5,0.4,0.0,0.181818,0.02381,0.00823,0.0,0.007782,0.011364,0.090909,0.003175,0.048193,0.0,9962.0,666.0,12246.0,2284.0,OCDO
22,2022,19715.55,679.0,23794.3,4078.75,0.027778,0.083333,0.022727,0.050633,0.030303,0.0,0.1,0.1,0.095238,0.0,0.090909,0.0,0.09068,0.0,0.095238,0.166667,3557.0,327.0,4682.0,1125.0,WTB
23,2023,9386.4,452.0,10307.9,921.5,0.064516,0.0,0.035088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.054902,0.0,0.054902,0.076923,2135.0,230.0,2307.0,172.0,WTB
24,2022,44726.1,1583.5,55024.15,10298.05,0.038536,0.0,0.068966,0.08,0.013774,0.0,0.051948,0.133333,0.0,0.0,0.051724,0.111111,0.045455,0.058252,0.08,0.15,8961.0,858.0,11497.0,2536.0,AV.
25,2023,8157.2,609.5,8968.7,811.5,0.0,0.0,0.020408,0.020408,0.00624,0.0,0.019608,0.021739,0.0,0.0,0.0,0.0,0.0,0.0,0.016949,0.019608,3868.0,374.0,4038.0,170.0,AV.
26,2022,13861.2,97.5,14575.7,714.5,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038462,0.0,0.038462,0.0,2142.0,60.0,2439.0,297.0,SMT
27,2023,22677.5,73.0,23241.5,564.0,0.046948,0.0,0.046948,0.0,0.0,0.0,0.0,0.0,0.04878,0.0,0.044444,0.0,0.02649,0.0,0.02649,0.0,3221.0,44.0,3358.0,137.0,SMT
28,2022,25675.2,966.5,26908.1,1232.9,0.107143,0.25,0.103448,0.078947,0.041667,0.0,0.038462,0.0,0.0,0.0,0.0,0.0,0.133333,0.0,0.133333,0.133333,7286.0,648.0,7830.0,544.0,AAF
29,2023,13771.3,445.5,14278.0,506.7,0.095238,0.25,0.166667,0.166667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.150943,0.125,0.150943,0.0,3363.0,224.0,3556.0,193.0,AAF
30,2022,20605.95,835.4,25434.65,4828.7,0.090909,0.012945,0.25,0.4,0.000639,0.0,0.025,0.029412,0.0,0.0,0.0,0.0,0.008247,0.0,0.038647,0.152866,4842.0,371.0,6891.0,2049.0,IMB
31,2023,8000.5,256.5,8909.0,908.5,0.1,0.333333,0.090909,0.125,0.016807,0.0,0.016529,0.0,0.0,0.0,0.0,0.0,0.008403,0.0,0.008264,0.0,1978.0,133.0,2470.0,492.0,IMB
32,2022,18640.9,540.0,27188.8,8547.9,0.333333,0.666667,0.080402,0.038462,0.046243,0.0,0.040404,0.021053,0.025316,0.0,0.02,0.015504,0.03125,0.0,0.025316,0.012195,4302.0,348.0,10199.0,5897.0,ITRK
33,2023,7672.5,224.0,10845.8,3173.3,0.098361,0.0,0.142857,0.25,0.0,0.0,0.006053,0.006382,0.0,0.0,0.0,0.0,0.047619,0.068966,0.037037,0.021277,2116.0,164.0,4412.0,2296.0,ITRK
34,2022,33318.35,553.0,92018.6,58700.25,0.153846,0.0,0.02061,0.019324,0.108571,0.0,0.074074,0.035573,0.00768,0.0,0.005917,0.011696,0.056604,0.0,0.045802,0.051724,6231.0,534.0,18327.0,12096.0,NWG
35,2023,15865.0,268.0,35385.6,19520.6,0.018692,0.0,0.012085,0.014599,0.0,0.0,0.02809,0.02809,0.111111,0.0,0.012448,0.010753,0.012048,0.0,0.006415,0.010204,4182.0,317.0,8374.0,4192.0,NWG
36,2022,90652.15,2077.9,108526.1,17873.95,0.066667,0.111111,0.036364,0.111111,0.063433,0.0,0.052227,0.04878,0.040816,0.0,0.013158,0.031746,0.122449,0.0,0.059701,0.058824,15540.0,961.0,21707.0,6167.0,LLOY
37,2023,72639.0,809.5,77871.9,5232.9,0.020833,0.0,0.013937,0.041667,0.012821,0.333333,0.01626,0.133333,0.006601,0.0,0.005025,0.0,0.036697,0.0,0.036072,0.033333,15622.0,499.0,17251.0,1629.0,LLOY
38,2022,13936.4,460.0,14786.4,850.0,0.043956,0.0,0.043956,0.0,0.01462,0.0,0.01462,0.0,0.0,0.0,0.0,0.0,0.012121,0.0,0.012121,0.0,3340.0,301.0,4074.0,734.0,SSE
39,2023,6000.6,207.0,6213.1,212.5,0.02139,0.0,0.021164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.071429,0.0,0.067797,0.125,1409.0,132.0,1574.0,165.0,SSE
40,2022,164128.1,4512.2,174801.8,10673.7,0.054054,0.666667,0.054054,0.027778,0.019608,0.072727,0.020408,0.111111,0.009828,0.0,0.009281,1.0,0.010989,0.0,0.054545,0.070588,23654.0,1580.0,26931.0,3277.0,NG.
41,2023,60560.4,1309.7,64097.8,3537.4,0.044444,0.0,0.041056,0.125,0.028571,0.0,0.025641,0.028846,0.0,0.0,0.0,0.0,0.009302,0.0,0.009091,0.1,10874.0,732.0,11722.0,848.0,NG.
42,2022,6804.2,386.5,7591.2,787.0,0.043478,0.0,0.066667,0.066667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038462,0.0,0.038462,0.0,1900.0,214.0,2483.0,583.0,SGRO
43,2023,1739.0,92.0,1768.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034769,0.071429,0.034252,0.0,552.0,66.0,569.0,17.0,SGRO
44,2022,19521.2,719.5,28436.95,8915.75,0.041667,0.0,0.036364,0.039216,0.0,0.0,0.181818,0.2,0.166667,0.0,0.078431,0.0,0.145455,0.3,0.146341,0.146341,5139.0,497.0,10539.0,5400.0,LGEN
45,2023,11860.7,108.0,12625.2,764.5,0.021053,0.0,0.020997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010724,0.25,0.014563,0.051282,6614.0,104.0,6822.0,208.0,LGEN
46,2022,15.0,5.0,15.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,5.0,1.0,5.0,,PHNX
47,2023,6.0,,6.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,2.0,,2.0,,PHNX
48,2022,3059.25,201.5,3572.25,513.0,0.006993,0.0,0.006993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018868,0.0,0.018868,0.0,900.0,149.0,1197.0,297.0,BEZ
49,2023,3092.0,147.5,3812.5,720.5,0.015385,0.0,0.044444,0.044444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015625,0.0,0.015625,0.0,793.0,98.0,1107.0,314.0,BEZ
50,2022,216623.65,10367.0,312253.15,95629.5,0.070175,0.2,0.038748,0.0399,0.057143,0.0,0.019446,0.025316,0.003003,0.0,0.018018,0.025157,0.050847,0.004944,0.039233,0.058484,58467.0,5503.0,91329.0,32862.0,AZN
51,2023,79849.2,3517.2,112360.7,32511.5,0.039401,1.0,0.02863,0.031323,0.003648,0.0,0.007203,0.016129,0.046875,0.142857,0.031646,0.010292,0.009709,0.25,0.01005,0.020619,21344.0,1997.0,31692.0,10348.0,AZN
52,2022,4887.5,268.5,5092.9,205.4,0.029412,0.0,0.02439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2873.0,469.0,2967.0,94.0,PSH
53,2023,1263.2,36.0,1285.7,22.5,0.0,0.0,0.0,0.0,0.032258,0.0,0.032258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,569.0,66.0,582.0,13.0,PSH
54,2022,39801.0,1205.5,80964.55,41163.55,0.205882,0.0,0.135593,0.071429,0.063091,0.4,0.051813,0.108108,0.001668,0.0,0.25,0.25,0.095238,0.0,0.023256,0.048193,16369.0,1166.0,27893.0,11524.0,GSK
55,2023,65679.0,2704.0,67676.0,1997.0,0.142857,1.0,0.142857,0.076923,0.055299,0.243243,0.053496,0.083333,0.004545,0.0,0.004397,0.0,0.009112,0.0,0.008715,0.014925,19417.0,1621.0,20357.0,940.0,GSK
56,2022,5611.5,256.5,6421.0,809.5,0.117647,0.0,0.090909,0.0,0.0,0.0,0.0,0.0,0.005495,0.0,0.166667,0.166667,0.060825,0.0,0.059872,0.0,1877.0,255.0,2626.0,749.0,PSON
57,2023,6736.3,259.0,6870.5,134.2,0.012442,0.0,0.012442,0.0,0.035714,0.0,0.034247,0.0,0.0,0.0,0.0,0.0,0.031088,0.0,0.031088,0.0,1728.0,180.0,1815.0,87.0,PSON
58,2022,8620.05,182.0,19238.8,10618.75,0.166667,0.0,0.117647,0.222222,0.307692,0.0,0.307692,0.2,0.032432,0.0,0.028169,0.033058,0.066667,0.0,0.083333,0.083333,2023.0,126.0,3914.0,1891.0,BT.A
59,2023,2570.5,30.0,4029.2,1458.7,0.05042,0.0,0.05042,0.0,0.0,0.0,0.032787,0.032787,0.004545,0.0,0.015686,0.085714,0.028169,0.0,0.019465,0.0,562.0,37.0,816.0,254.0,BT.A
60,2022,371.0,6.0,4298.9,3927.9,0.071429,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011628,0.011628,112.0,8.0,1933.0,1821.0,SHEL
61,2023,268.0,3.0,1179.5,911.5,0.0,0.0,0.008368,0.008969,0.0,0.0,0.008368,0.008969,0.0,0.0,0.0,0.0,0.0,0.0,0.129032,0.131868,99.0,3.0,557.0,458.0,SHEL
62,2022,27342.95,787.0,39537.3,12194.35,0.142857,0.166667,0.065217,0.215569,0.014035,0.074074,0.028571,0.041667,0.0,0.0,0.02963,0.02963,0.064516,0.1,0.023411,0.067039,7530.0,608.0,11388.0,3858.0,DGE
63,2023,46357.1,1438.5,54327.4,7970.3,0.021505,0.0,0.03125,0.083333,0.044118,0.25,0.060606,0.102564,0.0,0.0,0.007968,0.0625,0.014906,0.011494,0.013452,0.020833,12430.0,868.0,15214.0,2784.0,DGE
64,2022,4239.05,213.5,5939.75,1700.7,0.076923,0.0,0.076923,0.066667,0.0,0.0,0.009662,0.083333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1261.0,111.0,1871.0,610.0,III
65,2023,1957.5,105.0,2249.0,291.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022599,0.333333,0.022346,0.0,811.0,60.0,892.0,81.0,III
66,2022,29744.55,233.5,42529.6,12785.05,1.0,1.0,0.222222,0.166667,0.070175,0.0,0.030534,0.0,0.0,0.0,0.010638,0.08,0.058824,0.0,0.041667,0.028571,6269.0,264.0,8862.0,2593.0,ENT
67,2023,12887.0,223.5,18507.4,5620.4,0.333333,0.0,0.045977,0.066667,0.0,0.0,0.0,0.0,0.046512,0.0,0.018182,0.014815,0.026316,0.0,0.018868,0.014815,2805.0,129.0,3915.0,1110.0,ENT
68,2022,41301.05,1517.5,55389.55,14088.5,0.055556,0.0,0.042929,0.1,0.005105,0.0,0.090909,0.090909,0.0,0.0,0.0625,0.066667,0.080808,0.0,0.090909,0.102564,8122.0,859.0,11560.0,3438.0,PRU
69,2023,13809.0,559.5,14527.0,718.0,0.022739,0.0,0.022511,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.028986,0.030303,0.031008,0.0,0.030848,0.0,4417.0,433.0,4815.0,398.0,PRU
70,2022,7912.4,227.5,9895.4,1983.0,0.142857,0.5,0.129032,0.129032,0.0,0.0,0.093023,0.111111,0.0,0.0,0.0,0.0,0.12,0.0,0.109091,0.090909,1685.0,152.0,2298.0,613.0,SMDS
71,2023,1090.2,5.0,1260.7,170.5,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.08,0.0,272.0,22.0,292.0,20.0,SMDS
